Comment,Designator,Footprint,LCSC Part #
ERS1EM221F12OT,"C1,C2,C12-C14,C16",ProPrj_New-easyedapro:CAP-TH_BD8.0-P3.50-D0.6-FD,C160162
2.2uF,C3-C5,ProPrj_New-easyedapro:C0603,C23630
100nF,"C6-C11,C15,C32-C37,C43-C46,C52-C56,C59,C60",ProPrj_New-easyedapro:C0603,C14663
100nF,C17-C28,ProPrj_New-easyedapro:C0603,C1591
10uF,"C29-C31,C51",ProPrj_New-easyedapro:C0805,C15850
4.7uF,"C38,C39",ProPrj_New-easyedapro:C0805,C1779
1uF,"C40,C47,C50",ProPrj_New-easyedapro:C0603,C15849
18pF,"C41,C42",ProPrj_New-easyedapro:C0603,C527046
22uF,"C48,C49",ProPrj_New-easyedapro:C0805,C45783
4.7nF,"C57,C58",ProPrj_New-easyedapro:C0603,C53987
USBLC6-2SC6,D9,ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
DC-005-A250,DC1,ProPrj_New-easyedapro:DC-IN-TH_DC-005-2,C720558
5034802000,FPC1-FPC3,ProPrj_New-easyedapro:FPC-SMD_5034802000,C234192
PZ254V-11-02P,"H1,H3",ProPrj_New-easyedapro:HDR-TH_2P-P2.54-V-M,C492401
PZ254V-11-05P,H2,ProPrj_New-easyedapro:HDR-TH_5P-P2.54-V-M,C492404
BLM18PG121SN1D,L1,ProPrj_New-easyedapro:L0603,C14709
2.2uH,L2,ProPrj_New-easyedapro:IND-SMD_L4.0-W4.0_FNR40XXS,C167869
NCD0805G1,"LED1,LED2",ProPrj_New-easyedapro:LED0805-R-RD,C84260
KT-0805W,LED3,ProPrj_New-easyedapro:LED0805-R-RD,C34499
XL-2012UBC,LED4,ProPrj_New-easyedapro:LED0805-RD,C965817
XL-2012UOC,LED5,ProPrj_New-easyedapro:LED0805-RD_ORANGE,C965813
NCD0805R1,"LED6,LED7",ProPrj_New-easyedapro:LED0805-RD,C84256
KT-0805Y,LED8,ProPrj_New-easyedapro:LED0805-R-RD,C2296
WJ500V-5.08-2P,"P1,P2",ProPrj_New-easyedapro:CONN-TH_2P-P5.00_WJ500V-5.08-2P,C8465
AO4406A,"Q1,Q2",ProPrj_New-easyedapro:SOP-8_L5.0-W3.8-P1.27-LS6.0-BL,C2944312
10kΩ,"R1,R2,R7",ProPrj_New-easyedapro:R0603,C25804
33kΩ,R3,ProPrj_New-easyedapro:R0603,C4216
0Ω,R4,ProPrj_New-easyedapro:R0603,C21189
4.7kΩ,"R5,R8",ProPrj_New-easyedapro:R0603,C23162
1kΩ,"R6,R28-R31",ProPrj_New-easyedapro:R0603,C21190
33Ω,"R9,R32-R37",ProPrj_New-easyedapro:R0603,C23140
60.4Ω,"R10,R14,R15,R24",ProPrj_New-easyedapro:R0603,C2933247
10kΩ,"R11-R13,R45-R47",ProPrj_New-easyedapro:R0603,C98220
390Ω,"R25,R26",ProPrj_New-easyedapro:R0603,C23151
300Ω,"R27,R38",ProPrj_New-easyedapro:R0603,C23025
200Ω,R39,ProPrj_New-easyedapro:R0603,C8218
470Ω,R40,ProPrj_New-easyedapro:R0603,C23179
100kΩ,R41-R43,ProPrj_New-easyedapro:R0603,C25803
270Ω,"R44,R48",ProPrj_New-easyedapro:R0603,C22966
HX TS4538CJ 250gf 009,SW1-SW4,ProPrj_New-easyedapro:SW-TH_4P-L4.5-W4.5-P3.00-LS5.4,C5340169
HX TS4538CJ 250gf 009,"SW6,SW7",ProPrj_New-easyedapro:SW-TH_4P-L4.5-W4.5-P3.00-LS5.0,C5340169
STM32H755ZIT6,U1,ProPrj_New-easyedapro:LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL,C730212
W25Q512JVEIQ TR,U2,ProPrj_New-easyedapro:WSON-8_L8.0-W6.0-P1.27-TL-EP,C7389628
TPS563201DDCR,U3,ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C116592
CH224K,U4,ProPrj_New-easyedapro:ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C970725
LM74700QDBVRQ1,"U5,U6",ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2941042
FM24CL64B-GTR,U7,ProPrj_New-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C9829
TJA1051T/3/1J,"U8,U9",ProPrj_New-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C38695
ULN2803A,U10,ProPrj_New-easyedapro:SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL,C181731
TYPE-C-31-M-12,USBC1,ProPrj_New-easyedapro:USB-C_SMD-TYPE-C-31-M-12_1,C165948
25MHz,X1,ProPrj_New-easyedapro:CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9006
