"Designator","Comment","Footprint","Quantity","LCSC","MPN","Manufacturer","Part Class"
"C1,C2,C12-C14,C16","ERS1EM221F12OT","ProPrj_New-easyedapro:CAP-TH_BD8.0-P3.50-D0.6-FD","6","C160162","ERS1EM221F12OT","AISHI(Aihua Group)","Extended Part"
"C3-C5","2.2uF","ProPrj_New-easyedapro:C0603","3","C23630","CL10A225KO8NNNC","SAMSUNG(三星)",""
"C6-C11,C15,C32-C37,C43-C46,C52-C56,C59,C60","100nF","ProPrj_New-easyedapro:C0603","24","C14663","CC0603KRX7R9BB104","YAGEO(国巨)","Basic Part"
"C17-C28","100nF","ProPrj_New-easyedapro:C0603","12","C1591","CL10B104KB8NNNC","SAMSUNG(三星)","Extended Part"
"C29-C31,C51","10uF","ProPrj_New-easyedapro:C0805","4","C15850","CL21A106KAYNNNE","SAMSUNG(三星)","Basic Part"
"C38,C39","4.7uF","ProPrj_New-easyedapro:C0805","2","C1779","CL21A475KAQNNNE","SAMSUNG(三星)",""
"C40,C47,C50","1uF","ProPrj_New-easyedapro:C0603","3","C15849","CL10A105KB8NNNC","SAMSUNG(三星)","Basic Part"
"C41,C42","18pF","ProPrj_New-easyedapro:C0603","2","C527046","CC0603FRNPO9BN180","YAGEO(国巨)","Extended Part"
"C48,C49","22uF","ProPrj_New-easyedapro:C0805","2","C45783","CL21A226MAQNNNE","SAMSUNG(三星)","Basic Part"
"C57,C58","4.7nF","ProPrj_New-easyedapro:C0603","2","C53987","0603B472K500NT","FH(风华)","Basic Part"
"D9","USBLC6-2SC6","ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1","C7519","USBLC6-2SC6","ST(意法半导体)","Extended Part"
"DC1","DC-005-A250","ProPrj_New-easyedapro:DC-IN-TH_DC-005-2","1","C720558","DC-005-A250","XUNPU","Extended Part"
"FPC1-FPC3","5034802000","ProPrj_New-easyedapro:FPC-SMD_5034802000","3","C234192","5034802000","MOLEX","Extended Part"
"H1,H3","PZ254V-11-02P","ProPrj_New-easyedapro:HDR-TH_2P-P2.54-V-M","2","C492401","PZ254V-11-02P","XFCN(兴飞)","Extended Part"
"H2","PZ254V-11-05P","ProPrj_New-easyedapro:HDR-TH_5P-P2.54-V-M","1","C492404","PZ254V-11-05P","XFCN(兴飞)","Extended Part"
"L1","BLM18PG121SN1D","ProPrj_New-easyedapro:L0603","1","C14709","BLM18PG121SN1D","muRata(村田)",""
"L2","2.2uH","ProPrj_New-easyedapro:IND-SMD_L4.0-W4.0_FNR40XXS","1","C167869","FNR4030S2R2MT","cjiang(长江微电)","Extended Part"
"LED1,LED2","NCD0805G1","ProPrj_New-easyedapro:LED0805-R-RD","2","C84260","NCD0805G1","国星光电","Extended Part"
"LED3","KT-0805W","ProPrj_New-easyedapro:LED0805-R-RD","1","C34499","KT-0805W","KENTO","Basic Part"
"LED4","XL-2012UBC","ProPrj_New-easyedapro:LED0805-RD","1","C965817","XL-2012UBC","XINGLIGHT(成兴光)","Extended Part"
"LED5","XL-2012UOC","ProPrj_New-easyedapro:LED0805-RD_ORANGE","1","C965813","XL-2012UOC","XINGLIGHT(成兴光)","Extended Part"
"LED6,LED7","NCD0805R1","ProPrj_New-easyedapro:LED0805-RD","2","C84256","NCD0805R1","国星光电","Basic Part"
"LED8","KT-0805Y","ProPrj_New-easyedapro:LED0805-R-RD","1","C2296","KT-0805Y","KENTO","Basic Part"
"P1,P2","WJ500V-5.08-2P","ProPrj_New-easyedapro:CONN-TH_2P-P5.00_WJ500V-5.08-2P","2","C8465","WJ500V-5.08-2P","KANGNEX(康奈克斯电气)","Extended Part"
"Q1,Q2","AO4406A","ProPrj_New-easyedapro:SOP-8_L5.0-W3.8-P1.27-LS6.0-BL","2","C2944312","AO4406A","UMW(友台半导体)","Extended Part"
"R1,R2,R7","10kΩ","ProPrj_New-easyedapro:R0603","3","C25804","0603WAF1002T5E","UNI-ROYAL(厚声)","Basic Part"
"R3","33kΩ","ProPrj_New-easyedapro:R0603","1","C4216","0603WAF3302T5E","UNI-ROYAL(厚声)","Basic Part"
"R4","0Ω","ProPrj_New-easyedapro:R0603","1","C21189","0603WAF0000T5E","UNI-ROYAL(厚声)","Basic Part"
"R5,R8","4.7kΩ","ProPrj_New-easyedapro:R0603","2","C23162","0603WAF4701T5E","UNI-ROYAL(厚声)","Basic Part"
"R6,R28-R31","1kΩ","ProPrj_New-easyedapro:R0603","5","C21190","0603WAF1001T5E","UNI-ROYAL(厚声)","Basic Part"
"R9,R32-R37","33Ω","ProPrj_New-easyedapro:R0603","7","C23140","0603WAF330JT5E","UNI-ROYAL(厚声)","Basic Part"
"R10,R14,R15,R24","60.4Ω","ProPrj_New-easyedapro:R0603","4","C2933247","FRC0603F60R4TS","FOJAN(富捷)","Extended Part"
"R11-R13,R45-R47","10kΩ","ProPrj_New-easyedapro:R0603","6","C98220","RC0603FR-0710KL","YAGEO","Basic Part"
"R25,R26","390Ω","ProPrj_New-easyedapro:R0603","2","C23151","0603WAF3900T5E","UNI-ROYAL(厚声)","Basic Part"
"R27,R38","300Ω","ProPrj_New-easyedapro:R0603","2","C23025","0603WAF3000T5E","UNI-ROYAL(厚声)","Basic Part"
"R39","200Ω","ProPrj_New-easyedapro:R0603","1","C8218","0603WAF2000T5E","UNI-ROYAL(厚声)","Basic Part"
"R40","470Ω","ProPrj_New-easyedapro:R0603","1","C23179","0603WAF4700T5E","UNI-ROYAL(厚声)","Basic Part"
"R41-R43","100kΩ","ProPrj_New-easyedapro:R0603","3","C25803","0603WAF1003T5E","UNI-ROYAL(厚声)","Basic Part"
"R44,R48","270Ω","ProPrj_New-easyedapro:R0603","2","C22966","0603WAF2700T5E","UNI-ROYAL(厚声)","Basic Part"
"SW1-SW4","HX TS4538CJ 250gf 009","ProPrj_New-easyedapro:SW-TH_4P-L4.5-W4.5-P3.00-LS5.4","4","C5340169","HX TS4538CJ 250gf 009","hanxia",""
"SW6,SW7","HX TS4538CJ 250gf 009","ProPrj_New-easyedapro:SW-TH_4P-L4.5-W4.5-P3.00-LS5.0","2","C5340169","HX TS4538CJ 250gf 009","hanxia(韩下)",""
"U1","STM32H755ZIT6","ProPrj_New-easyedapro:LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL","1","C730212","STM32H755ZIT6","ST(意法半导体)",""
"U2","W25Q512JVEIQ TR","ProPrj_New-easyedapro:WSON-8_L8.0-W6.0-P1.27-TL-EP","1","C7389628","W25Q512JVEIQ TR","Winbond(华邦)",""
"U3","TPS563201DDCR","ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","1","C116592","TPS563201DDCR","TI(德州仪器)",""
"U4","CH224K","ProPrj_New-easyedapro:ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","1","C970725","CH224K","WCH(南京沁恒)","Extended Part"
"U5,U6","LM74700QDBVRQ1","ProPrj_New-easyedapro:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","2","C2941042","LM74700QDBVRQ1","TI(德州仪器)","Extended Part"
"U7","FM24CL64B-GTR","ProPrj_New-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","1","C9829","FM24CL64B-GTR","Infineon/CYPRESS(赛普拉斯)","Extended Part"
"U8,U9","TJA1051T/3/1J","ProPrj_New-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","2","C38695","TJA1051T/3/1J","NXP(恩智浦)","Extended Part"
"U10","ULN2803A","ProPrj_New-easyedapro:SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL","1","C181731","ULN2803A","Mixic(中科芯亿达)","Extended Part"
"USBC1","TYPE-C-31-M-12","ProPrj_New-easyedapro:USB-C_SMD-TYPE-C-31-M-12_1","1","C165948","TYPE-C-31-M-12","韩国韩荣","Extended Part"
"X1","25MHz","ProPrj_New-easyedapro:CRYSTAL-SMD_4P-L3.2-W2.5-BL","1","C9006","X322525MOB4SI","YXC(扬兴晶振)",""
