Designator,Mid X,Mid Y,Layer,Rotation
C1,260.000000,-115.000000,Top,0.000000
C2,269.380000,-118.890000,Top,0.000000
C3,143.193000,-96.919000,Top,90.000000
C4,136.919000,-116.299000,Top,180.000000
C5,156.807000,-123.081000,Top,90.000000
C6,151.294000,-123.079500,Top,90.000000
C7,163.081000,-115.816500,Top,0.000000
C8,163.081000,-112.819500,Top,0.000000
C9,163.081000,-109.822000,Top,0.000000
C10,163.335000,-103.320000,Top,0.000000
C11,156.197500,-96.919000,Top,90.000000
C12,269.380000,-110.000000,Top,0.000000
C13,269.380000,-101.110000,Top,0.000000
C14,260.000000,-105.000000,Top,0.000000
C15,149.187000,-96.919000,Top,90.000000
C16,206.007000,-124.732000,Top,0.000000
C17,43.000000,-90.000000,Top,90.000000
C18,142.500000,-90.000000,Top,90.000000
C19,242.989500,-90.010000,Top,90.000000
C20,188.100000,-104.920000,Top,90.000000
C21,195.720000,-104.920000,Top,90.000000
C22,203.340000,-104.920000,Top,90.000000
C23,210.960000,-104.920000,Top,90.000000
C24,218.580000,-104.920000,Top,0.000000
C25,188.100000,-115.080000,Top,0.000000
C26,195.720000,-115.080000,Top,0.000000
C27,203.340000,-115.080000,Top,0.000000
C28,210.960000,-115.080000,Top,0.000000
C29,257.500000,-90.000000,Top,90.000000
C30,57.500000,-90.000000,Top,90.000000
C31,157.500000,-90.000000,Top,-90.000000
C32,141.694000,-96.919000,Top,90.000000
C33,136.919000,-104.310500,Top,0.000000
C34,136.919000,-110.813000,Top,0.000000
C35,136.919000,-117.823000,Top,180.000000
C36,146.317000,-123.081000,Top,90.000000
C37,163.335000,-99.586000,Top,0.000000
C38,124.600000,-106.190000,Top,0.000000
C39,124.600000,-100.348000,Top,0.000000
C40,160.795000,-99.332000,Top,90.000000
C41,166.129000,-110.000000,Top,-90.000000
C42,166.129000,-103.269000,Top,90.000000
C43,158.814000,-123.081000,Top,90.000000
C44,136.919000,-109.111000,Top,0.000000
C45,163.081000,-111.321000,Top,0.000000
C46,75.000000,-130.000000,Top,90.000000
C47,142.177000,-94.000000,Top,90.000000
C48,117.996000,-106.190000,Top,-90.000000
C49,117.996000,-100.348000,Top,-90.000000
C50,34.430000,-108.857000,Top,90.000000
C51,104.915000,-106.190000,Top,-90.000000
C52,106.820000,-106.444000,Top,90.000000
C53,27.500000,-107.079000,Top,180.000000
C54,27.500000,-111.016000,Top,180.000000
C55,163.335000,-101.364000,Top,180.000000
C56,218.580000,-115.080000,Top,0.000000
C57,161.500000,-130.000000,Top,90.000000
C58,138.500000,-130.000000,Top,90.000000
C59,185.000000,-126.000000,Top,0.000000
C60,115.000000,-125.238000,Top,180.000000
D9,36.970000,-90.950000,Top,0.000000
DC1,36.000000,-122.000000,Top,0.000000
FPC1,50.000500,-90.000000,Top,0.000000
FPC2,150.000500,-90.000000,Top,0.000000
FPC3,250.000000,-90.000000,Top,0.000000
H1,175.000000,-122.000000,Top,180.000000
H2,130.442000,-115.588000,Top,90.000000
H3,125.000000,-122.000000,Top,0.000000
L1,170.320000,-101.618000,Top,90.000000
L2,113.170000,-106.190000,Top,-90.000000
LED1,65.000000,-90.000000,Top,-90.000000
LED2,235.000000,-90.000000,Top,-90.000000
LED3,75.000000,-90.000000,Top,-90.000000
LED4,225.000000,-90.000000,Top,-90.000000
LED5,65.000000,-95.000000,Top,-90.000000
LED6,225.000000,-95.000000,Top,-90.000000
LED7,75.000000,-95.000000,Top,-90.000000
LED8,235.000000,-95.000000,Top,-90.000000
P1,175.000000,-130.000000,Top,0.000000
P2,125.000000,-130.000000,Top,0.000000
Q1,45.000000,-105.000000,Top,0.000000
Q2,45.000000,-115.000000,Top,0.000000
R1,85.000000,-130.000000,Top,90.000000
R2,114.440000,-101.110000,Top,0.000000
R3,110.630000,-101.110000,Top,0.000000
R4,36.843000,-96.030000,Top,0.000000
R5,129.680000,-98.316000,Top,0.000000
R6,37.000000,-110.000000,Top,180.000000
R7,37.986000,-99.332000,Top,-90.000000
R8,129.680000,-92.220000,Top,0.000000
R9,151.778000,-96.665000,Top,90.000000
R10,163.500000,-130.000000,Top,-90.000000
R11,153.302000,-93.744000,Top,-90.000000
R12,52.845000,-93.744000,Top,-90.000000
R13,252.870000,-93.744000,Top,-90.000000
R14,167.000000,-130.000000,Top,0.000000
R15,136.500000,-130.000000,Top,-90.000000
R24,132.873000,-130.000000,Top,180.000000
R25,67.500000,-90.000000,Top,-90.000000
R26,232.499500,-90.000000,Top,-90.000000
R27,71.800000,-90.000000,Top,-90.000000
R28,35.000000,-130.000000,Top,90.000000
R29,45.000000,-130.000000,Top,90.000000
R30,55.000000,-130.000000,Top,90.000000
R31,65.000000,-130.000000,Top,90.000000
R32,146.190000,-93.744000,Top,90.000000
R33,46.241000,-93.744000,Top,90.000000
R34,246.240500,-93.744000,Top,90.000000
R35,149.746000,-93.744000,Top,90.000000
R36,49.543000,-93.744000,Top,90.000000
R37,249.542500,-93.744000,Top,90.000000
R38,232.499500,-95.000000,Top,-90.000000
R39,227.200000,-90.000000,Top,-90.000000
R40,67.500000,-95.000000,Top,-90.000000
R41,147.968000,-93.744000,Top,-90.000000
R42,47.892000,-93.744000,Top,-90.000000
R43,247.891500,-93.744000,Top,-90.000000
R44,227.500000,-95.000000,Top,-90.000000
R45,151.524000,-93.744000,Top,-90.000000
R46,51.194000,-93.744000,Top,-90.000000
R47,251.219000,-93.744000,Top,-90.000000
R48,71.800000,-95.000000,Top,-90.000000
R49,75.000000,-122.499750,Top,0.000000
SW1,40.000000,-130.000000,Top,0.000000
SW2,50.000000,-130.000000,Top,0.000000
SW3,60.000000,-130.000000,Top,0.000000
SW4,70.000000,-130.000000,Top,0.000000
SW6,80.000000,-130.000000,Top,0.000000
SW7,90.000000,-130.000000,Top,0.000000
U1,150.000000,-110.000000,Top,90.000000
U2,171.590000,-107.206000,Top,180.000000
U3,109.360000,-106.190000,Top,90.000000
U4,38.000000,-105.000000,Top,0.000000
U5,31.000000,-108.000000,Top,-90.000000
U6,31.000000,-112.000000,Top,-90.000000
U7,135.000000,-95.000000,Top,-90.000000
U8,185.000000,-130.000000,Top,90.000000
U9,115.000000,-129.238000,Top,90.000000
U10,85.000000,-95.000000,Top,-90.000000
USBC1,30.000000,-100.000000,Top,-90.000000
X1,163.843000,-106.545500,Top,0.000000
