Ref,Val,Package,PosX,PosY,Rot,Side
"C3","2.2uF","C0603",143.193000,-96.919000,90.000000,top
"C4","2.2uF","C0603",136.919000,-116.299000,180.000000,top
"C5","2.2uF","C0603",156.807000,-123.081000,90.000000,top
"C6","100nF","C0603",151.294000,-123.079500,90.000000,top
"C7","100nF","C0603",163.081000,-115.816500,0.000000,top
"C8","100nF","C0603",163.081000,-112.819500,0.000000,top
"C9","100nF","C0603",163.081000,-109.822000,0.000000,top
"C10","100nF","C0603",163.335000,-103.320000,0.000000,top
"C11","100nF","C0603",156.197500,-96.919000,90.000000,top
"C15","100nF","C0603",149.187000,-96.919000,90.000000,top
"C17","100nF","C0603",43.000000,-90.000000,90.000000,top
"C18","100nF","C0603",142.500000,-90.000000,90.000000,top
"C19","100nF","C0603",242.989500,-90.010000,90.000000,top
"C20","100nF","C0603",188.100000,-104.920000,90.000000,top
"C21","100nF","C0603",195.720000,-104.920000,90.000000,top
"C22","100nF","C0603",203.340000,-104.920000,90.000000,top
"C23","100nF","C0603",210.960000,-104.920000,90.000000,top
"C24","100nF","C0603",218.580000,-104.920000,0.000000,top
"C25","100nF","C0603",188.100000,-115.080000,0.000000,top
"C26","100nF","C0603",195.720000,-115.080000,0.000000,top
"C27","100nF","C0603",203.340000,-115.080000,0.000000,top
"C28","100nF","C0603",210.960000,-115.080000,0.000000,top
"C29","22uF","C0805",257.500000,-90.000000,90.000000,top
"C30","22uF","C0805",57.500000,-90.000000,90.000000,top
"C31","22uF","C0805",157.500000,-90.000000,-90.000000,top
"C32","100nF","C0603",141.694000,-96.919000,90.000000,top
"C33","100nF","C0603",136.919000,-104.310500,0.000000,top
"C34","100nF","C0603",136.919000,-110.813000,0.000000,top
"C35","100nF","C0603",136.919000,-117.823000,180.000000,top
"C36","100nF","C0603",146.317000,-123.081000,90.000000,top
"C37","100nF","C0603",163.335000,-99.586000,0.000000,top
"C38","4.7uF","C0805",124.600000,-106.190000,0.000000,top
"C39","4.7uF","C0805",124.600000,-100.348000,0.000000,top
"C40","1uF","C0603",160.795000,-99.332000,90.000000,top
"C41","18pF","C0603",166.129000,-110.000000,-90.000000,top
"C42","18pF","C0603",166.129000,-103.269000,90.000000,top
"C43","100nF","C0603",158.814000,-123.081000,90.000000,top
"C44","100nF","C0603",136.919000,-109.111000,0.000000,top
"C45","100nF","C0603",163.081000,-111.321000,0.000000,top
"C46","100nF","C0603",132.000000,-113.048000,90.000000,top
"C47","1uF","C0603",142.177000,-94.000000,90.000000,top
